id,datetime,cloud_cover,platform,constellation,bbox
S2A_MSIL2A_20260705T064321_N0512_R120_T40QDM_20260705T115359,2026-07-05T06:43:21.024000Z,0.03,sentinel-2a,sentinel-2,"[56.530455581973925, 23.420044569713237, 57.096268074330716, 24.413397299352482]"
S2A_MSIL2A_20260705T064321_N0512_R120_T40QDL_20260705T115359,2026-07-05T06:43:21.024000Z,5.2,sentinel-2a,sentinel-2,"[56.31600478972235, 22.51653454703369, 57.095599954292084, 23.510526689579592]"
S2A_MSIL2A_20260705T064321_N0512_R120_T40QDK_20260705T115359,2026-07-05T06:43:21.024000Z,13.42,sentinel-2a,sentinel-2,"[56.10357681006799, 21.612431218316747, 57.094963961133736, 22.60700939343149]"
S2A_MSIL2A_20260704T071321_N0512_R106_T39RXK_20260704T104054,2026-07-04T07:13:21.024000Z,38.48,sentinel-2a,sentinel-2,"[52.00027578051575, 26.1207412304164, 52.907862064474465, 27.118845826681362]"
S2A_MSIL2A_20260704T071321_N0512_R106_T39RXJ_20260704T104054,2026-07-04T07:13:21.024000Z,99.57,sentinel-2a,sentinel-2,"[51.99276932018573, 25.220870535107633, 52.662854534405255, 26.216444554819557]"
S2A_MSIL2A_20260704T071321_N0512_R106_T39RXH_20260704T104054,2026-07-04T07:13:21.024000Z,98.91,sentinel-2a,sentinel-2,"[51.9856119386822, 24.32015988453105, 52.42076477626398, 25.313386128673674]"
S2A_MSIL2A_20260704T071321_N0512_R106_T39RWK_20260704T104054,2026-07-04T07:13:21.024000Z,4.64,sentinel-2a,sentinel-2,"[50.999798198886296, 26.12689436875678, 52.10760269083818, 27.12246964175013]"
S2A_MSIL2A_20260704T071321_N0512_R106_T39RWJ_20260704T104054,2026-07-04T07:13:21.024000Z,25.43,sentinel-2a,sentinel-2,"[50.99979978093093, 25.22439454095876, 52.098921641118324, 26.21992939663604]"
S2A_MSIL2A_20260704T071321_N0512_R106_T39RWH_20260704T104054,2026-07-04T07:13:21.024000Z,23.08,sentinel-2a,sentinel-2,"[50.9998012905827, 24.32124028955981, 52.09063778096024, 25.316733986977916]"
S2A_MSIL2A_20260704T071321_N0512_R106_T39QXG_20260704T104054,2026-07-04T07:13:21.024000Z,37.4,sentinel-2a,sentinel-2,"[51.980487188213964, 23.64206793864743, 52.181545464777045, 24.410215071618904]"
S2A_MSIL2A_20260704T071321_N0512_R106_T39QWG_20260704T104054,2026-07-04T07:13:21.024000Z,6.34,sentinel-2a,sentinel-2,"[50.999802729246774, 23.41850022972941, 52.08274340664086, 24.413427907412203]"
S2A_MSIL2A_20260704T071321_N0512_R106_T39QWF_20260704T121414,2026-07-04T07:13:21.024000Z,0.03,sentinel-2a,sentinel-2,"[50.99980419334682, 22.516403211784763, 51.87199861533425, 23.444534339507]"
S2A_MSIL2A_20260704T071321_N0512_R106_T39QWF_20260704T104054,2026-07-04T07:13:21.024000Z,0.06,sentinel-2a,sentinel-2,"[50.99980409834853, 23.056944650795927, 51.94531361139884, 23.510556029690843]"
S2A_MSIL2A_20260704T071321_N0512_R106_T39QWE_20260704T121414,2026-07-04T07:13:21.024000Z,0.0,sentinel-2a,sentinel-2,"[50.99980540161629, 21.613595921568926, 51.71127211100061, 22.607037481513167]"
S2B_MSIL2A_20260704T065619_N0512_R063_T40RCQ_20260704T105318,2026-07-04T06:56:19.024000Z,30.49,sentinel-2b,sentinel-2,"[54.982494344802724, 26.117197498081712, 55.42921751122416, 27.11263530391892]"
S2B_MSIL2A_20260704T065619_N0512_R063_T40RCP_20260704T105318,2026-07-04T06:56:19.024000Z,98.01,sentinel-2b,sentinel-2,"[54.998297911189916, 25.56091947099161, 55.18331579039134, 26.207863885632918]"
S2B_MSIL2A_20260704T065619_N0512_R063_T40RBQ_20260704T105318,2026-07-04T06:56:19.024000Z,10.91,sentinel-2b,sentinel-2,"[53.97448687510832, 26.099861307066554, 55.09757858656868, 27.109361416960304]"
S2B_MSIL2A_20260704T065619_N0512_R063_T40RBP_20260704T105318,2026-07-04T06:56:19.024000Z,23.75,sentinel-2b,sentinel-2,"[53.99816220678797, 25.198425816101338, 55.100961956862356, 26.207323832821213]"
S2B_MSIL2A_20260704T065619_N0512_R063_T40RBN_20260704T105318,2026-07-04T06:56:19.024000Z,27.16,sentinel-2b,sentinel-2,"[54.02075513456023, 24.29632139277963, 54.9397353068504, 25.301804037809518]"
S2B_MSIL2A_20260704T065619_N0512_R063_T40QBM_20260704T105318,2026-07-04T06:56:19.024000Z,0.79,sentinel-2b,sentinel-2,"[54.04228654820621, 23.394092946074444, 54.69888576215954, 24.395017166581624]"
